x,y
644.22552,0.2838369
644.36237,0.27757889
644.49921,0.2695629
644.63599,0.26122063
644.77283,0.25252911
644.90967,0.24109171
645.04651,0.2292859
645.18335,0.21747835
645.32019,0.20473553
645.45703,0.19325359
645.59387,0.18255571
645.73071,0.17194672
645.86755,0.15885887
646.00439,0.14270303
646.14124,0.12654479
646.27808,0.11005644
646.41492,0.098293342
646.5517,0.089410327
646.68854,0.080525994
646.82538,0.074729212
646.96222,0.073513381
647.09906,0.07257051
647.2359,0.071410492
647.37274,0.070764676
647.50958,0.071213819
647.64642,0.071661934
647.78326,0.075112544
647.9201,0.077694118
648.05695,0.080306731
648.19379,0.085368969
648.33057,0.093464643
648.46741,0.099871807
648.60425,0.10627655
648.74109,0.11014804
648.87793,0.1187699
649.01477,0.12817436
649.15161,0.13770191
649.28845,0.14741318
649.42529,0.15728518
649.56213,0.16715755
649.69897,0.17726591
649.83582,0.18988109
649.97266,0.20263325
650.1095,0.21580203
650.24628,0.23621738
650.38312,0.25526214
650.51996,0.2743066
650.6568,0.29366511
650.79364,0.3087028
650.93048,0.32448962
651.06732,0.34026638
651.20416,0.35736743
651.341,0.37504753
651.47784,0.39272591
651.61469,0.40934351
651.75153,0.4240784
651.88837,0.44086477
652.02521,0.4576501
652.16199,0.47512698
652.29883,0.48861253
652.43567,0.50198758
652.57251,0.51568997
652.70935,0.52678937
652.84619,0.53517777
652.98303,0.54356652
653.11987,0.54995817
653.25671,0.55293328
653.39355,0.55571133
653.5304,0.55779195
653.66724,0.55330527
653.80408,0.54858339
653.94086,0.54386276
654.0777,0.53717691
654.21454,0.52989733
654.35138,0.52253658
654.48822,0.51525915
654.62506,0.50731134
654.7619,0.49875599
654.89874,0.49020028
655.03558,0.48263356
655.17242,0.47769418
655.30927,0.47305223
655.44611,0.46871254
655.58295,0.46755445
655.71979,0.46784833
655.85657,0.46814141
655.99341,0.46795559
656.13025,0.46509016
656.26709,0.46254158
656.40393,0.45983022
656.54077,0.45625541
656.67761,0.45552337
